id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
86025996,455052,469893,21,0.82,2.38,5.24,2.79,3.28,2.87,2.38,5.16,5.74,8.36,6.47,5.74,4.51,8.44,0.66,1.97,2.95,2.46,3.77,2.46,3.2,3.28,4.83,7.87,6.64,6.15,5.16,8.35,123.93,47210550,20230823
86269750,456052,468593,19,1.05,2.32,4.21,5.06,10.32,4.84,4.84,5.9,14.53,14.53,18.75,16.43,14.75,20.64,0.84,3.16,3.37,6.95,7.37,5.27,4.0,5.9,12.22,14.96,16.64,15.8,13.9,23.18,271.73,47210610,20230816
86281938,456102,468543,6,1.22,0.49,2.43,1.95,3.4,3.89,2.92,3.16,6.81,10.7,10.7,8.03,8.03,9.73,0.73,1.22,2.92,1.7,1.95,2.92,1.7,3.16,6.32,6.08,6.08,9.73,7.05,8.27,133.29,47210610,20230824
86281938,456102,468543,15,1.21,3.15,4.61,2.67,5.57,4.12,2.42,8.0,14.3,14.3,18.66,15.76,15.27,23.76,1.21,1.21,5.33,6.06,8.48,4.85,4.85,6.79,10.67,14.3,15.03,14.3,12.12,20.35,259.35,47210610,20230815
86294128,456152,468593,10,1.05,1.05,1.34,1.91,2.39,2.3,2.01,3.06,4.88,5.74,7.76,5.65,6.03,7.36,0.67,1.82,2.49,1.63,3.06,1.15,0.86,2.97,5.17,6.13,5.07,5.94,5.84,6.79,102.12,47210610,20230823
86269750,456052,468593,8,1.89,2.53,2.32,2.95,4.42,5.47,5.26,8.84,8.63,13.05,19.37,9.68,9.26,13.89,2.32,3.37,4.0,2.74,6.53,2.74,4.63,4.0,6.53,7.37,10.74,10.53,8.42,13.26,194.74,47210610,20230822
86281938,456102,468543,8,0.97,0.73,3.89,3.16,4.38,4.38,2.92,5.35,7.06,12.9,19.22,12.65,11.92,16.54,0.73,0.73,4.14,4.14,2.68,3.89,4.14,6.81,6.57,13.38,9.73,11.68,10.71,17.27,202.67,47210610,20230820
86294126,456152,468493,12,1.24,1.23,3.09,3.29,5.97,5.14,3.7,7.61,6.99,14.61,20.16,12.34,11.93,15.22,1.03,0.62,5.76,5.14,3.91,3.5,3.09,4.73,9.46,12.14,11.11,13.99,12.55,17.07,216.62,47210610,20230816
86294126,456152,468493,16,1.24,1.65,2.47,5.55,7.41,6.17,3.29,10.08,10.9,15.22,18.31,12.75,16.46,21.18,0.42,2.47,5.97,4.94,4.94,3.09,3.7,4.32,11.52,14.61,15.43,13.99,14.19,20.77,253.04,47210610,20230829
86294126,456152,468493,17,1.85,3.5,4.73,4.32,6.38,3.91,4.32,9.87,10.29,12.75,16.87,13.78,12.34,18.31,1.65,1.44,5.14,5.97,5.97,3.5,4.73,5.97,10.9,11.52,11.93,15.43,12.14,21.6,241.11,47210610,20230815
86294127,456152,468543,16,1.22,3.05,4.88,4.68,5.7,4.27,3.66,9.15,9.76,14.03,18.71,13.83,10.37,16.68,1.83,0.81,5.29,6.92,5.29,3.86,4.27,5.7,10.37,12.61,13.63,18.31,10.78,18.51,238.17,47210610,20230807
86294127,456152,468543,16,1.62,2.03,2.85,3.25,5.29,4.47,1.63,12.2,9.36,13.63,22.58,14.03,13.42,15.86,1.22,1.42,6.51,6.91,4.07,2.64,3.25,8.34,10.58,15.05,11.19,15.46,9.56,19.32,237.74,47210610,20230822
86294128,456152,468593,13,0.68,0.98,2.94,1.57,3.62,2.54,1.37,2.84,4.79,5.58,6.75,5.97,5.09,7.34,0.69,0.88,2.54,2.35,3.33,1.76,2.94,1.37,4.99,4.21,6.65,5.87,5.68,6.96,102.28,47210610,20230827
