x,y
452821,466833
454277,468179
454180,469277
454150,468723
454640,467703
454646,467713
454491,468358
454503,468346
465422,462673
465412,462680
465316,462334
465328,462332
449132,464369
448956,464568
449120,464365
448955,464582
449269,464336
449265,464347
450311,466051
450309,466063
450800,464640
450802,464627
450274,463317
450280,463332
450288,463319
449817,463640
449828,463636
458775,479715
458767,479706
455873,473292
453755,466864
455169,469466
456024,469585
455767,469304
455127,467541
455141,467561
456985,469908
456974,469904
454432,473009
454393,472570
454381,472568
454420,473006
458501,488790
458504,488801
458038,469400
458041,469392
455338,468288
446987,475731
446998,475733
454345,479279
454395,479314
454382,479316
454429,477847
454431,477859
455779,478554
454726,477995
454730,477984
452088,458972
454305,463523
454313,463515
454721,463964
454729,463953
455626,468108
460499,459007
460507,458999
447834,473861
447835,473908
446819,477049
446831,477054
447006,476651
446995,476645
446414,475983
446416,475994
464018,456709
464055,456931
453290,457817
453284,457803
455430,468331
455415,468325
454333,479682
454345,479676
455372,467639
455327,467638
456186,468364
456199,468451
446959,474284
462375,468620
462457,469371
462468,469374
451328,480094
451340,480093
451116,481008
451106,481002
450170,471484
450311,470953
450556,470581
450558,470591
450291,470954
456943,485422
456932,485427
444936,466137
444924,466139
456481,460392
456470,460386
457951,459835
457945,459824
447526,473599
447521,473587
453410,470200
453382,470199
454161,468490
458418,471113
458425,471126
453515,483119
453507,483128
456129,476885
458260,471090
458240,471096
449773,477271
449775,477283
451600,475091
451611,475095
456045,467583
456797,469957
453309,459382
453288,459385
453303,459396
453471,459571
453463,459581
453302,458480
453314,458478
455625,468122
456319,467487
456308,467505
447129,471814
447118,471813
450678,476320
450650,476329
450655,476340
464211,467429
464229,467434
464215,467442
456975,469537
449528,483082
449539,483086
458222,480010
458233,479996
458239,480007
458088,482426
458099,482418
458149,482695
458137,482698
453256,486381
453250,486371
464040,468928
464029,468933
461721,459683
461729,459692
447274,474353
447277,474339
456491,469759
456464,469749
447806,475872
447831,475566
447795,475875
447765,475690
447741,475763
454781,475630
454780,475619
454209,475445
454211,475433
452878,475606
452882,475617
453101,475425
453093,475415
453225,474916
453213,474914
453225,474684
453213,474684
453248,474314
453479,474062
453289,474256
453474,474051
461010,459609
461043,459588
442974,473481
442960,473482
444294,474056
444258,474005
444469,474168
444475,474160
463439,468143
463441,468131
462074,466583
462079,466571
452315,464261
452251,464238
451373,468119
451819,466170
451808,466164
452898,465434
452914,465423
451998,464965
452008,464958
452994,466116
452818,466515
452806,466515
458701,468297
458699,468284
457043,461473
457047,461484
458559,464162
458568,464171
457732,462922
459987,461143
458670,464091
458673,464104
453230,455744
458544,484017
458536,484027
459023,471133
459021,471145
450327,468296
450323,468285
452869,459349
452876,459340
456440,463221
456450,463215
458731,458474
458740,458467
448865,477081
448873,477071
458267,457697
458268,457709
451999,464039
451980,464035
452928,464837
452920,464845
456595,465172
456606,465166
449911,481129
449902,481121
449488,481720
449486,482020
449496,482027
449500,481721
445362,476325
445926,475045
445921,475034
456031,469687
444718,475426
444719,475439
443707,475941
462186,470477
462193,470466
454478,480594
454466,480591
454847,481657
454859,481652
454998,482538
454989,482532
457685,481348
456916,481935
457696,481344
456926,481929
457163,482865
457161,482851
455491,480425
455503,480424
454852,479734
454864,479731
457267,471921
457262,471910
460204,489275
449007,471379
448308,470067
448320,470068
449003,471391
447052,473445
447061,473454
446842,473966
446827,473980
458443,486545
458448,486534
460902,488386
458380,486106
458390,486100
458315,486395
458307,486404
454148,468494
454139,468722
460177,488391
460179,488375
460159,488381
453887,457530
453895,457524
456760,470432
453340,476673
453345,476662
453745,478009
453757,478010
453505,476941
453517,476938
448605,475032
448816,474682
445602,479975
445593,479967
446119,479169
445352,480163
446107,479167
447006,474350
455610,468997
447643,473877
456760,469937
459449,471355
459457,471346
455961,469306
457057,472250
456788,470116
457104,473041
457116,473044
457016,472333
456224,469789
456194,469779
457410,470743
457416,470729
457761,481724
457749,481726
452344,470406
451370,470363
451103,470537
452353,470414
451375,470374
451110,470547
448039,480484
461197,486252
461185,486246
451181,475771
451171,475765
453922,460089
453911,460094
460678,461827
460668,461834
460665,461822
463982,460106
463982,460118
446076,470102
446064,470103
454447,458714
454459,458712
456191,468683
448611,472779
448587,472810
447059,475159
447047,475158
464681,465055
464670,465053
447107,474919
447109,474925
454753,470133
454739,470260
451680,478809
451668,478810
451143,479198
451125,479182
451671,478574
451659,478573
456901,459829
456912,459822
461888,470260
460134,469738
461888,470280
460130,469750
461876,470260
463207,470184
462756,470421
462751,470409
463208,470172
462478,470559
462473,470570
461629,470124
461630,470112
451844,480771
451837,480780
457435,468679
457442,468669
455384,469565
447717,464589
455819,469128
454218,468325
456888,468744
456900,468810
456856,468767
454424,467908
454415,467899
451511,459743
451226,460847
451523,460872
451219,460835
451521,460860
451233,460831
452159,460835
451144,459721
451137,459711
463548,470174
463551,470185
446531,474746
446540,474754
446815,474538
446985,474468
455617,469440
446793,474534
451702,480519
451713,480516
458847,487300
458715,486716
458854,487313
458861,487292
458726,486714
458754,486704
458983,487514
458973,487522
456498,458341
456510,458344
458456,483828
458493,483726
441858,477254
441998,476997
441863,477265
442014,476997
441627,478043
442449,476659
441622,478054
442453,476670
456482,466452
451521,479405
451509,479400
458219,488693
458224,488703
463399,467111
463399,467123
455341,469560
455173,469484
456137,468908
454725,467583
454730,467564
454576,470652
454590,470649
455386,469673
455973,469779
455339,468274
459978,461698
459969,461690
461724,472668
461732,472675
462256,471675
462397,471422
462265,471683
462390,471412
461105,471882
461096,471875
461418,471226
461429,471230
460805,472770
460817,472767
455532,468578
455543,468567
449790,471802
449787,471810
449779,471859
450104,471636
449764,471883
449259,472415
449391,471607
449395,471596
449237,472481
460702,464331
455779,469276
455132,471122
455138,471133
454150,473484
453158,472930
453166,472939
454159,473493
455977,464668
455980,464656
449141,477336
449153,477330
450283,472222
450280,472210
450405,472371
450396,472378
447865,466527
447876,466531
447742,466055
446801,477429
446790,477432
457445,471402
457433,471391
457433,471175
457422,471190
455417,469728
455445,469725
456258,467962
456257,467864
451176,463696
451184,463686
454607,469250
457363,469039
457359,469028
457921,470855
457933,470872
453170,475178
453182,475180
455461,468219
455632,459222
450151,472585
454719,469304
455460,467509
455474,467476
450081,472016
450075,472025
450525,470007
455341,469246
455326,469247
455657,467420
455662,467431
455992,469792
455895,467463
455881,467500
456101,468938
456095,468946
454672,470158
455905,467871
455895,467861
454142,469711
454158,469698
454149,469817
454237,469763
456572,468778
456563,468790
455762,469073
456704,470301
464640,460041
464649,460032
451700,474028
451838,474467
451830,474460
451712,474032
452214,473412
452215,473424
457145,475523
457153,475513
464379,458361
464555,458851
464543,458854
464168,457374
464177,457362
464859,460506
464871,460507
455334,484523
455323,484518
455003,484864
454995,484855
455045,482940
455349,483558
455406,483946
455086,483070
455155,483374
455333,483551
455418,483944
455161,483364
442785,474756
449580,473754
448688,468673
448696,468682
448896,468237
448674,467947
448686,467945
448890,468247
448886,468505
448879,468495
459968,467620
459968,467608
460442,466864
460431,466857
460700,466227
460703,466216
459850,482938
460816,485291
460806,485298
460605,487050
460605,487062
457020,469242
457786,469170
457784,469182
457525,457640
457525,457652
458510,459845
458411,459731
458408,459743
458700,484811
458418,485645
458688,484812
458406,485645
454159,469075
455595,468969
446883,477932
446871,477929
463817,455868
463811,455879
460291,463534
459546,463908
460292,463522
459562,463902
458386,464357
458384,464345
460508,462833
460136,463199
460149,463206
460518,462840
454698,471792
457156,469575
457156,469587
458280,469216
458287,469226
459244,469054
458499,469040
458499,469052
459243,469066
457283,457677
454354,460639
454373,460631
454370,460646
455538,462510
455553,462528
455552,462510
454264,462021
454272,462013
454672,461262
454681,461253
455111,461959
455115,461952
454696,471780
445858,469185
445351,467475
445362,467471
445869,469182
458143,461590
458144,461602
456505,485018
456493,485021
458728,469065
458724,469052
461103,470049
461099,470061
447251,472633
447238,472630
450846,471939
452138,471406
451203,471763
450843,471927
452139,471419
451207,471775
459338,488064
459382,488072
459374,488080
459095,489059
459083,489057
446951,476001
446962,475997
454273,468369
456154,468909
457170,470307
457102,470473
451283,463774
451255,463738
452983,465079
452995,465083
455970,469359
456550,463644
456539,463612
457046,465310
457036,465304
456997,465594
456986,465590
456621,464531
456633,464529
456358,462922
456365,462911
443105,474567
445337,475287
443107,474578
445334,475276
443355,474759
443360,474762
449588,483760
456659,481858
456669,481852
454374,470089
454362,470073
454599,470302
454586,470303
455766,469786
455634,469801
456529,466394
457039,475015
457027,475017
456995,474717
456983,474699
453157,486482
453151,486471
452448,457742
453441,457547
453431,457541
458462,462312
458465,462300
452222,486956
454790,469462
454758,469721
454773,469471
454770,469700
451910,470468
451599,470464
451911,470476
451589,470470
455559,469516
445588,474714
445587,474703
463629,455776
463636,455766
464360,470328
464350,470324
463878,470534
463869,470537
464322,470844
452088,476449
452099,476452
452110,476905
452122,476905
464542,472138
464836,472332
464843,472322
