정류장ID,정류장명,위도,경도
356000255,(구)읍사무소,36.870388,128.524575
356000446,SK주유소앞,36.832176,128.638726
356000833,가천,36.801315,128.589752
356000459,가흥동,36.813366,128.606163
356000027,가흥동,36.823266,128.605155
356000077,가흥동,36.818269,128.604786
356000461,가흥주공임대아파트,36.809052,128.610194
356000462,가흥주공임대아파트,36.809139,128.610262
356000074,가흥초등학교,36.814965,128.60858
356000069,가흥초등학교,36.814851,128.608706
356000481,갈분기도원,36.763044,128.730601
356000482,갈분기도원,36.763109,128.730486
356000483,갈분네.오운2리,36.759999,128.729381
356000480,갈분네.오운2리,36.759975,128.729512
356000825,갈산1리,36.77931,128.548253
356000828,갈산1리,36.781112,128.546295
356000829,갈산1리,36.779273,128.548127
356000826,갈산1리,36.781236,128.546292
356000830,갈산1리.갈미,36.779002,128.549786
356000836,갈산1리.갈미,36.779105,128.549745
356000230,갈산2리,36.794406,128.561572
356000228,갈산2리,36.794513,128.561558
356000835,갈산2리.바우실,36.781665,128.566964
356000831,갈산2리.바우실,36.781548,128.566987
356000194,갈산3리,36.769766,128.560979
356000823,갈산3리,36.769899,128.561051
356000195,갈산3리,36.769788,128.561136
356000837,갈산리,36.772701,128.555884
356000824,갈산리,36.772671,128.556011
356000767,감곡1리,36.917049,128.657467
356000788,감곡1리,36.916965,128.657383
356000799,갓골,36.859343,128.624424
356000185,거리마을,36.801543,128.600222
356000082,건강나라건너,36.824909,128.616261
356000015,경북약국,36.825932,128.625852
356000466,경북약국,36.823417,128.622952
356000003,경북전문대학교,36.807563,128.615643
356000046,경북전문대학교건너,36.807739,128.615802
356000445,경일아파트,36.82878,128.636647
356000472,경일아파트건너,36.828746,128.636519
356000667,고현동,36.856879,128.60825
356000666,고현동,36.852924,128.607777
356000701,고현동,36.852906,128.607644
356000700,고현동,36.856855,128.608117
356000437,곰마,36.99884,128.655093
356000441,곰마,36.998943,128.655128
356000593,관음사삼거리,36.824139,128.648414
356000563,관음사삼거리,36.824073,128.648441
356000184,괴산올갱이,36.814286,128.618065
356000384,교촌1리.향교앞,36.881802,128.524923
356000365,교촌1리.향교앞,36.881822,128.525055
356000732,구구1리,36.913383,128.60772
356000800,구구1리,36.913694,128.608286
356000721,구구1리.오현,36.913716,128.608137
356000737,구구2리,36.900474,128.608565
356000741,구구2리,36.900582,128.60858
356000739,구구3리,36.906767,128.623758
356000740,구두둘,36.901792,128.611905
356000738,구두둘,36.901688,128.61195
356000106,궁터,36.730513,128.581004
356000134,권선리,36.771405,128.606145
356000138,권선리,36.771334,128.606241
356000139,권선밭,36.775352,128.610839
356000133,권선밭,36.775253,128.610924
356000040,그랜드모텔,36.81264,128.621275
356000521,금강이주단지,36.730335,128.675166
356000522,금강이주단지,36.730258,128.675261
356000268,금강주유소,36.864909,128.534307
356000332,금강주유소,36.865332,128.534329
356000381,금계,36.893694,128.523125
356000371,금계,36.893737,128.523255
356000370,금계2리,36.890093,128.525196
356000382,금계2리,36.890043,128.525078
356000368,금계리,36.884102,128.518517
356000366,금계리,36.884208,128.518535
356000494,금곡마을,36.709394,128.714375
356000489,금곡마을,36.711394,128.714808
356000144,금영골,36.720036,128.594377
356000111,금영골,36.719913,128.594316
356000010,꽃동산,36.814662,128.619096
356000038,꽃동산,36.814613,128.618925
356000731,남동,36.917017,128.607617
356000722,남동,36.916965,128.607744
356000004,남부육거리,36.808436,128.618397
356000045,남부초등학교건너,36.808422,128.617899
356000088,남산초등학교,36.814921,128.627574
356000130,남산초등학교건너,36.815697,128.627723
356000256,남원대교 앞,36.868767,128.524524
356000572,내림1리,36.816836,128.696964
356000571,내림2리.안수구리,36.823599,128.697936
356000573,내림2리.안수구리,36.823628,128.698067
356000716,내죽1리,36.920894,128.573916
356000704,내죽1리,36.920889,128.57405
356000705,내죽2리,36.929148,128.571603
356000715,내죽2리,36.929087,128.571492
356000262,내줄,36.84337,128.560358
356000310,내줄리,36.838576,128.561896
356000334,내줄리,36.835214,128.564619
356000308,내줄리,36.835299,128.564649
356000333,내줄리,36.838591,128.561679
356000402,노곡1리.두신동,36.968587,128.637335
356000420,노곡1리.두신동,36.968634,128.637214
356000294,노좌,36.79545,128.501354
356000285,노좌,36.795465,128.501222
356000156,노트리교,36.743064,128.630295
356000164,노트리교,36.743004,128.63017
356000162,녹동,36.737949,128.646709
356000158,녹동,36.737858,128.646641
356000242,농공단지,36.862568,128.530842
356000258,농공단지,36.862458,128.530784
356000237,농공단지입구,36.831623,128.596592
356000263,농공단지입구,36.831615,128.596278
356000076,농협가흥지점,36.816173,128.60489
356000622,다미안의원,36.839556,128.652796
356000629,다미안의원,36.839672,128.652885
356000398,단곡1리.진막,36.948039,128.598675
356000424,단곡1리.진막,36.948119,128.598584
356000744,단산.오상,36.891708,128.627562
356000621,단운,36.839355,128.651027
356000630,단운,36.839412,128.650802
356000661,단촌2리,36.895542,128.556281
356000655,단촌2리,36.895653,128.556299
356000648,단촌리,36.875799,128.57663
356000643,단촌리,36.875833,128.57676
356000458,대경주유소,36.80789,128.62594
356000471,대승공구철물,36.829235,128.634536
356000146,대양리.문고개.궁터,36.734144,128.594698
356000108,대양리.문고개.궁터,36.734174,128.594468
356000104,대양리.문고개.궁터,36.734265,128.59464
356000147,대양리.전닷,36.735839,128.596525
356000103,대양리.전닷,36.735928,128.596442
356000109,대양리.화방,36.72601,128.594559
356000145,대양리.화방,36.725999,128.594693
356000009,대영연합의원,36.812772,128.621274
356000128,대영중.고,36.807005,128.629001
356000090,대영중.고앞,36.807168,128.628883
356000299,대촌,36.846497,128.52628
356000280,대촌,36.846496,128.526149
356000875,대평,36.886921,128.566369
356000646,대평리,36.887006,128.566053
356000645,대평리,36.887104,128.56611
356000559,덕골.두월,36.80598,128.717436
356000544,덕골.두월,36.806022,128.717641
356000546,덕골.두월,36.806099,128.717487
356000473,덕산빌라,36.825444,128.636502
356000711,덕현,36.947923,128.553909
356000709,덕현,36.947952,128.554039
356000768,도봉,36.919743,128.65128
356000787,도봉,36.919614,128.651402
356000798,도봉,36.919713,128.651475
356000817,도탄,36.941522,128.649969
356000771,도탄,36.941447,128.650091
356000772,도탄,36.943937,128.650668
356000783,도탄,36.943964,128.650538
356000750,독점,36.977444,128.595998
356000754,독점,36.977352,128.595929
356000556,돌고개,36.819498,128.715642
356000557,돌고개,36.819547,128.715522
356000509,동막,36.736342,128.688905
356000508,동막,36.736422,128.688998
356000312,동부1리,36.869373,128.528066
356000330,동부1리,36.869246,128.528097
356000453,동산교회,36.827469,128.631098
356000469,동산교회건너,36.827382,128.630791
356000387,동양대학교,36.883035,128.534122
356000248,동양대학교,36.880273,128.534389
356000435,동양대학교,36.883059,128.533996
356000250,동양대학교,36.881398,128.533653
356000249,동양대학교,36.882057,128.533389
356000745,동원1리.구미,36.88048,128.612346
356000743,동원1리.구미,36.880373,128.612343
356000746,동원2리,36.878841,128.605917
356000742,동원2리,36.878733,128.605938
356000691,동촌.조개섬,36.880365,128.591007
356000676,동촌.조개섬,36.88047,128.591043
356000675,동촌.피끝,36.878723,128.593487
356000692,동촌.피끝,36.878634,128.593397
356000673,동촌1리,36.874128,128.594845
356000694,동촌1리,36.874116,128.594711
356000672,동촌1리.피끝,36.872037,128.594827
356000695,동촌1리.피끝,36.872037,128.594693
356000696,동촌리,36.868708,128.595061
356000670,동촌리,36.86642,128.59764
356000671,동촌리,36.868176,128.595516
356000697,동촌리,36.866322,128.59758
356000510,동호이주단지,36.735725,128.680935
356000507,동호이주단지,36.73553,128.681309
356000318,두산1리,36.861724,128.479785
356000324,두산1리,36.861733,128.479632
356000317,두산2리,36.866838,128.494622
356000325,두산2리,36.866382,128.494216
356000316,두산2리.소미,36.867839,128.496594
356000326,두산2리.소미,36.867771,128.496654
356000558,두월2리.해맬,36.812466,128.708848
356000555,두월2리.해맬,36.812359,128.708871
356000548,두월교차로,36.798498,128.693423
356000542,두월교차로,36.798396,128.693473
356000199,두전,36.778168,128.583912
356000190,두전,36.777957,128.58319
356000852,두전1리,36.812984,128.57361
356000227,두전2리.모전,36.795396,128.578484
356000231,두전2리.모전,36.795342,128.578361
356000187,두전3리,36.788702,128.590517
356000202,두전3리,36.7886,128.590696
356000232,두전3리.고지골,36.784528,128.580401
356000226,두전3리.고지골,36.784466,128.580512
356000186,두전교차로,36.794841,128.591642
356000832,두전전원마을,36.798453,128.589699
356000834,두전전원마을,36.798447,128.589564
356000552,둘구비,36.814158,128.655758
356000538,둘구비,36.814047,128.655731
356000151,막현,36.752769,128.63666
356000155,막현,36.752869,128.636713
356000170,만방,36.776912,128.653851
356000180,만방,36.77699,128.653944
356000171,만방1리.자만동,36.765783,128.644494
356000514,만방2리,36.74961,128.669604
356000474,만방리,36.776262,128.655086
356000502,만방리,36.776374,128.655119
356000136,멱실,36.701367,128.593563
356000774,명암정,36.955826,128.655204
356000781,명암정,36.955915,128.655124
356000623,못골마을,36.839702,128.65959
356000628,못골마을,36.83981,128.659565
356000853,묵리,36.814637,128.561904
356000851,묵리,36.814536,128.561853
356000105,문고개,36.73387,128.589769
356000107,문고개,36.733786,128.589851
356000096,문수역,36.76856,128.630035
356000123,문수역,36.768498,128.630157
356000519,물문화관,36.725643,128.655335
356000520,물문화관,36.725574,128.655441
356000433,미곡리,36.893874,128.546084
356000389,미곡리,36.893789,128.546165
356000174,미림,36.71867,128.650084
356000175,미림,36.718779,128.650101
356000198,반구,36.77618,128.580357
356000191,반구,36.776145,128.580138
356000200,반구2리.덕암,36.783321,128.590815
356000189,반구2리.덕암,36.783398,128.59072
356000149,방갓마을,36.786132,128.631921
356000166,방갓마을,36.786078,128.632043
356000706,배점1리.하평,36.930299,128.558079
356000714,배점1리.하평,36.930224,128.557981
356000713,배점2리,36.935648,128.553372
356000712,배점2리,36.93835,128.553373
356000708,배점2리,36.938412,128.553485
356000707,배점2리,36.935654,128.553505
356000367,백1리,36.887235,128.506737
356000341,백리,36.875676,128.51298
356000362,백리,36.875576,128.512928
356000033,백마가구사앞,36.826851,128.625936
356000360,백신1리,36.879172,128.499459
356000343,백신1리,36.879283,128.499465
356000344,백신2리,36.88386,128.488149
356000584,번개,36.833587,128.694998
356000575,번개,36.833488,128.69507
356000723,병산1리,36.925225,128.609307
356000730,병산1리,36.925198,128.609175
356000729,병산2리,36.934781,128.61353
356000724,병산2리,36.934741,128.613656
356000725,병산3리.젓돌,36.942712,128.615284
356000728,병산3리.젓돌,36.942661,128.615181
356000786,보계1리.광창,36.931833,128.645362
356000819,보계1리.광창,36.93717,128.636768
356000769,보계1리.광창,36.931795,128.645488
356000804,보계1리.광창,36.937114,128.63688
356000818,보계1리.뿔바우,36.94553,128.639617
356000805,보계1리.뿔바우,36.945407,128.639588
356000821,보계2리.모치,36.92364,128.620666
356000802,보계2리.모치,36.923634,128.620801
356000822,보계2리.오룡동,36.917457,128.613447
356000801,보계2리.오룡동,36.917424,128.613576
356000760,보름골,36.846906,128.639962
356000795,보름골,36.846804,128.639901
356000410,복지1리,37.003102,128.674271
356000864,봉암리,36.84249,128.547308
356000848,봉암리,36.830702,128.539392
356000863,봉암리,36.830711,128.539524
356000847,봉암리,36.842595,128.547266
356000278,봉현면사무소,36.861201,128.525518
356000301,봉현면사무소,36.861284,128.525617
356000243,봉현사거리,36.865907,128.523192
356000257,봉현사거리,36.866036,128.523021
356000418,부석면사무소,36.978615,128.654272
356000404,부석면사무소,36.978512,128.654323
356000412,부석사,36.995047,128.682033
356000778,부석주유소,36.974665,128.653533
356000777,부석주유소,36.974604,128.653644
356000403,부석중학교,36.977275,128.652825
356000419,부석중학교,36.977356,128.652737
356000068,부영아파트,36.816212,128.604747
356000067,부영아파트,36.818265,128.604652
356000409,북지1리.갓띠,36.995136,128.673898
356000411,북지1리.갓띠,36.994996,128.673911
356000413,북지1리.갓띠,36.995051,128.673685
356000142,분계,36.71742,128.601047
356000113,분계,36.717365,128.601128
356000449,비상급수대앞,36.83352,128.634163
356000735,사천1리,36.889959,128.596264
356000718,사천1리,36.889857,128.596312
356000733,사천2리,36.901978,128.600894
356000720,사천2리,36.90198,128.601028
356000734,사천리,36.89236,128.59813
356000719,사천리,36.892335,128.598261
356000270,산법,36.875421,128.543037
356000271,산법.아로농장,36.872263,128.54538
356000375,삼가교입구,36.920115,128.509648
356000377,삼가교입구,36.920051,128.509539
356000374,삼가리,36.912828,128.515398
356000376,삼가리,36.921828,128.506847
356000378,삼가리,36.912815,128.515264
356000244,삼가리.비로사,36.869357,128.525052
356000036,삼성C&C앞,36.820657,128.621166
356000267,삼일연립,36.865064,128.532174
356000452,삼일주유소,36.829061,128.634122
356000627,삽제,36.841667,128.66438
356000624,삽제,36.841588,128.66447
356000014,상가시장앞,36.823419,128.625117
356000761,상망동,36.849885,128.637631
356000451,상망동,36.830671,128.63445
356000793,상망동,36.85701,128.638218
356000762,상망동,36.857034,128.63835
356000794,상망동,36.850633,128.637174
356000454,상망동주민센터앞,36.827757,128.628108
356000468,상망동주민센터앞,36.827667,128.627773
356000632,상망육교,36.836283,128.641471
356000619,상망육교,36.836154,128.641543
356000770,상석.평촌,36.935217,128.646244
356000785,상석.평촌,36.935228,128.64611
356000339,상줄동,36.833535,128.584653
356000336,상줄동,36.833209,128.573731
356000335,상줄동,36.834786,128.570752
356000303,상줄동,36.833609,128.584752
356000306,상줄동,36.833308,128.573786
356000307,상줄동,36.834876,128.570826
356000658,상태장,36.924582,128.537034
356000814,새두들,36.975798,128.685179
356000808,새두들,36.975749,128.68504
356000644,새마,36.881951,128.571975
356000647,새마,36.881891,128.571861
356000148,새마을,36.740476,128.601615
356000102,새마을,36.740529,128.601497
356000516,새뱅이삼거리,36.755735,128.677394
356000512,새뱅이삼거리,36.7558,128.677289
356000505,새뱅이삼거리,36.755693,128.677255
356000478,새터,36.740007,128.714253
356000498,새터,36.740115,128.714253
356000297,샘골,36.831124,128.514368
356000282,샘골,36.831138,128.514233
356000141,샛골,36.728055,128.607392
356000114,샛골,36.728037,128.607531
356000087,샛빛학원,36.817795,128.627654
356000259,생현1리,36.855125,128.542951
356000241,생현리,36.855401,128.542691
356000364,서부3리,36.876645,128.525702
356000385,서부3리,36.876635,128.525568
356000529,서부름,36.784559,128.722506
356000532,서부름,36.784539,128.722374
356000386,서부리,36.874479,128.526221
356000363,서부리,36.874538,128.526248
356000023,서부주유소,36.83094,128.611643
356000019,서부초등학교,36.832084,128.611492
356000682,석교1리,36.909297,128.577777
356000685,석교1리,36.909309,128.577642
356000429,석교2리.돌다리,36.912836,128.571783
356000393,석교2리.돌다리,36.912691,128.571582
356000681,석교리,36.907181,128.577661
356000686,석교리,36.90717,128.577528
356000163,석천,36.737964,128.634957
356000157,석천,36.737901,128.635074
356000574,석포,36.831644,128.691636
356000568,석포,36.827057,128.671926
356000608,석포,36.831828,128.691631
356000588,석포,36.827164,128.671885
356000585,석포,36.831645,128.6915
356000603,석포1리,36.830879,128.706417
356000604,석포1리,36.833038,128.701377
356000596,석포1리,36.832938,128.70132
356000597,석포1리,36.83077,128.706419
356000576,석포1리.번개,36.834303,128.698269
356000583,석포1리.번개,36.834402,128.698221
356000586,석포2리.야곡,36.830439,128.688723
356000570,석포2리.야곡,36.830331,128.688735
356000396,선비촌,36.926965,128.579757
356000426,선비촌,36.927054,128.579676
356000554,선영여자고등학교,36.817682,128.641592
356000049,선영여자고등학교,36.817592,128.641677
356000457,설악건강원,36.825792,128.618676
356000827,성곡리,36.781362,128.532413
356000035,성황타일도기사,36.821823,128.623519
356000464,세영리첼.자인병원,36.814678,128.605519
356000081,세영체시빌아파트,36.818299,128.635472
356000054,세영체시빌앞,36.818894,128.635611
356000055,세영첼시빌아파트,36.818505,128.635112
356000463,센텀파크.피카소,36.810915,128.607793
356000460,센텀파크.피카소,36.81083,128.607694
356000210,소룡2리,36.737499,128.5746
356000222,소룡3리,36.747459,128.57148
356000235,소룡3리,36.747666,128.574801
356000208,소룡3리,36.747349,128.571397
356000213,소룡3리,36.747558,128.574788
356000212,소룡3리,36.747315,128.571558
356000214,소룡3리.소룡산,36.747297,128.581922
356000211,소룡리,36.737318,128.570483
356000209,소룡리,36.737224,128.570412
356000598,소바우,36.83076,128.710235
356000602,소바우,36.830865,128.710266
356000328,소방파출소,36.872951,128.519754
356000314,소방파출소,36.873025,128.519854
356000313,소백목욕탕,36.871061,128.522928
356000276,소백산약국,36.870427,128.52483
356000264,소백산약국,36.824643,128.62128
356000329,소벡목욕탕,36.871032,128.522683
356000427,소수서원,36.924703,128.578142
356000395,소수서원,36.924675,128.578272
356000443,소천,36.985395,128.65887
356000417,소천,36.980136,128.657337
356000416,소천,36.985509,128.658948
356000406,소천,36.985322,128.65902
356000405,소천,36.980119,128.657463
356000816,소천,36.980028,128.657778
356000407,소천6리.탑평,36.987308,128.660406
356000415,소천6리.탑평,36.987381,128.660303
356000172,수도리,36.724581,128.630329
356000178,수도리,36.724602,128.630462
356000782,수사,36.954126,128.654201
356000773,수사,36.953208,128.654609
356000355,수철,36.895771,128.467479
356000356,수철,36.89345,128.46903
356000350,수철,36.895871,128.467527
356000349,수철,36.893445,128.469214
356000354,수철리,36.902891,128.464923
356000357,수철리,36.890384,128.47407
356000351,수철리,36.902993,128.464868
356000348,수철리,36.890478,128.47412
356000091,수청정미소,36.797667,128.630747
356000394,순흥,36.91468,128.576039
356000428,순흥,36.914633,128.575906
356000442,숲실,36.997982,128.651914
356000436,숲실,36.998076,128.651981
356000543,시르미.해멜,36.80317,128.708313
356000547,시르미.해멜,36.803279,128.708313
356000059,시립도서관,36.825741,128.618187
356000060,시립도서관건너,36.825066,128.616298
356000078,시민교회앞,36.819825,128.627067
356000047,시민운동장,36.807963,128.611148
356000002,시민운동장앞,36.807792,128.611193
356000021,시영아파트.청하요양병원,36.835632,128.609697
356000636,시영아파트.청하요양병원,36.835604,128.609847
356000058,시외버스정류장,36.826761,128.618708
356000032,시의회건너,36.827684,128.625294
356000203,시장순대,36.814152,128.618074
356000515,신방,36.754611,128.669551
356000513,신방,36.754545,128.669443
356000611,신암1리.어름골,36.853356,128.689993
356000616,신암1리.어름골,36.853419,128.690082
356000612,신암2리,36.844376,128.695876
356000613,신암2리,36.842086,128.697438
356000615,신암2리,36.844449,128.695978
356000614,신암2리,36.841998,128.697357
356000610,신암3리,36.846317,128.682987
356000617,신암3리,36.846249,128.682883
356000618,신암3리.미륵당,36.840384,128.686439
356000609,신암3리.미륵당,36.84042,128.686566
356000626,신암리,36.854336,128.67969
356000625,신암리,36.854305,128.679827
356000037,신영주교회,36.816888,128.62026
356000011,신영주교회건너,36.816782,128.620378
356000866,신전1리,36.846253,128.556111
356000845,신전1리,36.846327,128.556082
356000261,신전1리,36.846768,128.555994
356000238,신전1리,36.844748,128.559628
356000239,신전1리,36.846991,128.555826
356000260,신전2리,36.851804,128.550204
356000846,신전3리.향산,36.844524,128.551629
356000865,신전3리.향산,36.844418,128.551671
356000240,신전리.안심리,36.852405,128.549958
356000524,신천2리.새해,36.778296,128.677862
356000265,아디다스,36.823156,128.623083
356000703,아랫귀내,36.839835,128.615959
356000664,아랫귀내,36.839931,128.616024
356000699,아지동,36.861174,128.60512
356000652,아지동,36.856235,128.593953
356000639,아지동,36.856323,128.594043
356000668,아지동,36.861253,128.605218
356000150,아천마을,36.781622,128.624963
356000165,아천마을,36.781515,128.62499
356000432,안미곡리,36.896158,128.549196
356000390,안미곡리,36.896104,128.549327
356000844,안심1리,36.850011,128.561673
356000867,안심1리,36.849905,128.561631
356000663,안심1리,36.851348,128.563049
356000274,안심1리,36.851415,128.562945
356000856,여륵2리,36.798816,128.534195
356000858,여륵2리,36.79886,128.53432
356000857,여륵2리.탑골,36.794572,128.532786
356000372,연풍사,36.897121,128.522949
356000380,연풍사,36.897147,128.522819
356000759,영광고교,36.842219,128.641916
356000796,영광고교,36.84212,128.641775
356000758,영광고등학교,36.840174,128.641764
356000797,영광고등학교,36.840309,128.641638
356000018,영광중학교,36.827254,128.619051
356000030,영광중학교건너,36.827223,128.619366
356000129,영동삼거리,36.811295,128.628347
356000089,영동삼거리,36.810404,128.628335
356000193,영주IC.꽃계,36.773133,128.571113
356000196,영주IC.꽃계,36.773042,128.571195
356000456,영주경찰서,36.822995,128.609938
356000050,영주고등학교,36.820928,128.640818
356000561,영주고등학교,36.820827,128.640776
356000620,영주고추시장,36.837258,128.647208
356000631,영주고추시장,36.837414,128.647343
356000693,영주관광,36.876498,128.594251
356000674,영주관광,36.876515,128.594383
356000039,영주농협꽃동산지점,36.81365,128.619439
356000116,영주무섬마을,36.73257,128.620699
356000273,영주미곡처리장,36.853296,128.560209
356000026,영주법원,36.823475,128.611199
356000005,영주볼링장,36.807256,128.61937
356000044,영주볼링장건너,36.806957,128.619531
356000662,영주시농업기술센터,36.848167,128.559394
356000275,영주시농업기술센터,36.84825,128.559319
356000309,영주시립병원,36.830043,128.564231
356000084,영주시민회관,36.822914,128.618164
356000083,영주시민회관,36.822922,128.618004
356000006,영주시보건소,36.806442,128.621571
356000043,영주시보건소,36.806541,128.621638
356000016,영주시의회,36.827794,128.6255
356000007,영주시청,36.806813,128.62425
356000042,영주시청좌측,36.807152,128.624094
356000086,영주여객,36.820092,128.626669
356000874,영주여객차고지,36.820172,128.626597
356000063,영주여자중학교,36.831176,128.610739
356000008,영주역,36.810489,128.624387
356000041,영주역건너,36.810401,128.624274
356000065,영주종합터미널,36.827172,128.604756
356000028,영주종합터미널,36.827055,128.604938
356000236,영주종합터미널,36.828127,128.60485
356000085,영주종합터미널,36.827634,128.605835
356000080,영주중학교,36.818627,128.631935
356000056,영주중학교,36.818735,128.631836
356000013,영진호텔,36.821333,128.622872
356000450,영화빌,36.832338,128.633524
356000485,예고개,36.739379,128.721616
356000497,예고개,36.739298,128.721714
356000650,오계1리,36.866215,128.577684
356000642,오계1리,36.870166,128.579262
356000649,오계1리,36.870101,128.579163
356000641,오계1리,36.866253,128.577812
356000651,오계2리,36.860634,128.583405
356000640,오계2리,36.860742,128.583415
356000789,오상입구,36.879374,128.638856
356000766,오상입구,36.879283,128.638946
356000487,오운,36.724257,128.71856
356000496,오운,36.728656,128.720565
356000486,오운,36.728684,128.720432
356000488,오운1리,36.715377,128.71611
356000495,오운1리,36.715268,128.716212
356000484,오운리,36.743549,128.724109
356000479,오운리,36.743558,128.724243
356000748,옥대3리.금대,36.960585,128.619204
356000756,옥대3리.금대,36.960535,128.619082
356000749,옥대4리.모산,36.963677,128.615511
356000755,옥대4리.모산,36.963594,128.615421
356000726,옥대리,36.946337,128.615843
356000400,옥대리,36.951883,128.619295
356000757,옥대리,36.955374,128.619968
356000727,옥대리,36.947499,128.616315
356000423,옥대리,36.95024,128.617113
356000422,옥대리,36.951827,128.619119
356000747,옥대리,36.955361,128.6201
356000399,옥대리,36.950145,128.61718
356000320,옥동,36.873215,128.477734
356000272,옹암리.독바우,36.863857,128.553891
356000849,용산1리,36.81812,128.543556
356000862,용산1리,36.818201,128.543645
356000860,용산2리,36.814174,128.545862
356000855,용산2리,36.811577,128.543355
356000859,용산2리,36.811553,128.543487
356000854,용산2리,36.814268,128.545791
356000861,용산리,36.816597,128.545768
356000850,용산리,36.816506,128.545691
356000551,용상1리.배해,36.807981,128.669901
356000539,용상1리.배해,36.807872,128.669897
356000550,용상2리,36.80114,128.675153
356000540,용상2리,36.80108,128.675036
356000549,용상2리.어위실,36.795385,128.677996
356000541,용상2리.어위실,36.795285,128.678031
356000811,용암,36.946023,128.669783
356000813,용암1리,36.967167,128.680823
356000809,용암1리,36.967224,128.680709
356000807,용암1리.망감,36.983031,128.678598
356000815,용암1리.망감,36.98314,128.678595
356000444,용암교차로,36.822782,128.636983
356000562,용암대,36.822087,128.64557
