x,y
455705,469837
456138,469750
456285,467937
456566,467249
455879,468777
455540,468101
456573,468756
456985,468793
446505,474607
455450,483630
454139,468196
454006,468330
454766,467662
455409,470101
456107,469807
455185,467891
456434,469097
456308,468464
458647,486746
455349,469002
451375,479348
455911,467496
457203,468865
456937,469106
456107,469575
457141,469728
455483,468813
455765,468906
456843,470400
456978,470399
456697,470546
457532,471343
458122,469375
458083,469824
447685,464538
455545,467202
455196,468003
455557,467399
454807,470504
454483,470758
446624,474637
447205,474096
447393,474629
456539,470228
454595,469741
