id,x,y,timezn_cd,m00,m10,m15,m20,m25,m30,m35,m40,m45,m50,m55,m60,m65,m70,f00,f10,f15,f20,f25,f30,f35,f40,f45,f50,f55,f60,f65,f70,total,admi_cd,etl_ymd
85757809,453952,468443,17,1.1,3.31,13.04,13.92,5.97,3.31,2.43,3.31,4.42,3.98,2.21,0.66,1.1,1.32,0.88,6.19,9.72,4.64,3.76,1.55,1.77,3.31,4.64,3.54,3.31,1.55,1.33,0.22,106.49,47210620,20230219
86269750,456052,468593,11,0.63,3.15,3.78,6.72,7.56,3.99,2.31,5.25,10.08,10.29,13.87,12.19,13.87,15.12,0.84,1.05,3.36,4.62,4.2,2.73,2.73,3.15,8.19,10.51,10.93,13.24,12.4,16.38,203.14,47210610,20230204
86281938,456102,468543,15,1.95,2.68,4.87,5.6,9.0,6.57,2.43,9.24,12.89,14.11,17.52,16.54,12.65,17.28,0.97,3.89,7.05,6.08,4.38,4.14,6.81,4.38,9.24,17.76,9.49,12.16,15.57,21.4,256.65,47210610,20230211
86281939,456102,468593,7,0.41,0.41,1.43,2.86,2.66,2.25,2.46,4.3,3.89,8.59,9.62,7.78,7.37,8.38,0.82,1.43,1.84,1.64,1.84,1.84,2.86,3.48,4.5,6.14,4.3,4.5,4.3,8.58,110.48,47210610,20230202
85904065,454552,467843,19,0.96,3.46,3.98,3.79,2.69,3.74,3.65,5.52,4.85,5.28,5.61,3.5,1.49,2.79,1.15,3.46,3.79,3.7,3.55,2.98,2.64,5.81,6.24,5.23,3.65,4.03,2.06,3.16,102.76,47210620,20230203
86025996,455052,469893,13,0.44,1.94,3.43,2.46,3.65,2.46,2.68,3.28,5.59,4.69,6.7,5.14,5.36,8.27,0.15,1.12,1.64,3.8,2.68,2.23,1.64,3.28,6.18,5.66,6.03,6.41,5.88,7.0,109.79,47210550,20230220
86281938,456102,468543,23,0.97,2.44,5.86,4.88,6.1,6.84,3.42,6.1,8.55,12.45,13.92,10.74,9.03,20.75,0.73,1.22,4.64,5.86,6.1,1.95,3.42,3.91,9.52,10.99,10.74,11.96,13.18,19.29,215.56,47210610,20230221
86281939,456102,468593,7,0.81,1.21,2.83,4.04,2.02,3.44,2.43,5.26,3.64,11.12,11.53,8.29,6.47,7.88,0.81,0.61,1.42,2.43,2.22,0.81,2.43,2.02,4.04,6.27,5.06,8.09,5.26,6.67,119.11,47210610,20230217
86281939,456102,468593,9,0.8,0.6,3.19,4.79,3.19,4.79,2.19,5.39,5.19,9.58,15.36,7.78,9.97,15.17,0.4,1.2,3.19,5.19,3.59,1.99,3.99,2.79,5.79,8.78,9.58,9.77,6.78,13.76,164.79,47210610,20230205
86294126,456152,468493,8,0.41,0.82,2.67,3.5,4.32,3.29,3.7,7.41,6.17,10.49,15.84,8.23,7.61,10.09,0.0,0.82,2.88,4.53,4.73,3.29,1.65,3.5,7.2,6.99,6.38,7.61,6.79,8.64,149.56,47210610,20230203
86294126,456152,468493,22,1.03,2.67,3.7,5.35,6.99,5.55,3.91,7.82,6.79,12.14,17.28,10.9,9.67,16.46,1.23,1.65,5.35,5.35,4.53,2.06,4.53,4.32,9.05,11.73,11.73,10.29,11.73,19.75,213.56,47210610,20230207
86294127,456152,468543,16,0.4,1.83,2.85,4.88,5.9,2.64,2.85,8.54,6.92,12.0,16.07,14.03,10.58,18.31,1.02,2.24,6.51,4.07,5.7,3.86,2.85,5.29,9.76,12.2,9.56,10.78,10.78,19.12,211.54,47210610,20230203
86294129,456152,468643,6,1.12,0.56,3.93,3.93,2.53,3.65,1.69,3.65,6.18,7.86,7.3,5.06,5.9,8.14,0.84,0.84,2.81,2.81,1.4,2.53,1.97,3.09,3.37,7.58,8.71,6.18,6.46,7.58,117.67,47210610,20230205
86294129,456152,468643,9,0.55,1.39,3.88,4.71,4.71,4.99,5.54,9.14,12.19,13.86,19.95,13.3,9.42,15.52,0.55,2.22,4.99,6.65,4.99,3.88,4.16,5.82,13.58,11.08,14.69,11.64,12.19,16.63,232.22,47210610,20230203
85904065,454552,467843,17,1.59,5.41,2.75,3.0,3.43,2.95,3.33,3.82,4.35,3.87,4.59,4.25,1.98,3.19,2.13,6.62,3.62,3.62,4.01,3.19,3.0,5.32,6.04,6.14,4.83,3.43,2.17,4.15,106.78,47210620,20230223
86269750,456052,468593,23,0.0,1.48,3.8,4.85,4.43,2.32,2.95,6.75,6.33,11.82,10.55,10.34,8.86,14.97,0.42,1.69,4.64,3.59,4.01,1.69,4.01,3.59,7.17,10.76,9.07,8.86,9.92,13.72,172.59,47210610,20230203
86281938,456102,468543,1,0.73,1.22,3.42,2.93,1.96,4.89,2.44,7.82,6.85,4.89,11.98,6.11,5.87,8.31,0.73,1.96,2.69,2.93,1.47,1.22,2.93,2.93,6.6,5.62,7.33,4.89,5.62,11.74,128.08,47210610,20230215
86281938,456102,468543,7,0.98,1.22,2.43,3.89,4.62,2.19,2.19,4.87,4.87,10.22,11.44,9.49,8.03,10.46,0.73,0.73,1.95,2.19,2.92,1.95,1.7,2.92,5.11,7.3,8.03,8.76,9.0,11.68,141.87,47210610,20230220
86281938,456102,468543,19,1.69,3.15,6.79,8.49,7.52,5.58,3.64,7.52,15.52,18.43,21.34,15.28,12.85,25.21,1.45,3.88,7.03,6.55,7.03,4.61,5.09,6.06,14.06,16.97,19.4,18.43,14.06,22.06,299.69,47210610,20230204
86294127,456152,468543,13,1.22,1.83,4.07,6.71,4.68,4.07,2.44,7.12,7.53,8.95,14.64,10.98,10.58,17.09,0.2,1.83,5.69,4.88,4.88,3.25,3.25,5.69,10.58,11.19,12.61,11.19,10.58,17.89,205.62,47210610,20230224
86294127,456152,468543,17,0.61,2.03,4.47,5.08,4.68,4.47,3.86,8.75,10.17,13.02,18.51,16.68,14.85,17.49,2.03,2.44,7.93,5.08,4.27,3.25,5.49,5.29,7.32,14.03,10.37,16.27,12.41,21.56,242.41,47210610,20230216
86294129,456152,468643,11,0.0,2.52,8.39,6.15,8.39,7.83,5.31,12.3,10.07,16.22,21.81,17.89,15.66,21.25,1.96,2.24,6.99,7.27,6.43,7.55,4.75,7.27,12.86,17.61,11.18,16.22,16.22,20.69,293.03,47210610,20230207
